36	18
13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2
16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3
1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4
8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9
13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2
16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3
1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4
8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9
13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2
16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3
1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4
8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9
13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2
16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3
1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4	5	3	6	7	1	2	3	4
8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9	10	6	7	12	8	3	3	9
13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2	15	11	12	3	13	3	14	2
16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3	18	12	3	19	16	14	2	3
