71	32
1	0	0	128	128
2	128	0	256	128
3	256	0	384	128
4	384	0	512	128
5	512	0	640	128
6	640	0	768	128
7	768	0	896	128
8	896	0	1024	128
9	0	128	128	256
10	128	128	256	256
11	256	128	384	256
12	384	128	512	256
13	512	128	640	256
14	640	128	768	256
15	768	128	896	256
16	896	128	1024	256
17	0	256	128	384
18	128	256	256	384
19	256	256	384	384
20	384	256	512	384
21	512	256	640	384
22	640	256	768	384
23	768	256	896	384
24	896	256	1024	384
25	0	384	128	512
26	128	384	256	512
27	256	384	384	512
28	384	384	512	512
29	512	384	640	512
30	640	384	768	512
31	768	384	896	512
32	896	384	1024	512
