318	4608	2304
252	2159
4012	401201	2370	1563	0	0
4012	401202	584	1647	0	0
4012	401203	87	684	0	0
4012	401204	2349	554	0	0
4012	401205	3161	142	0	0
4009	400901	2393	1830	0	0
4009	400902	2760	1505	0	0
4009	400903	1980	1355	0	0
4009	400904	1930	1672	0	0
4009	400905	1301	1831	0	0
4009	400906	2434	645	0	0
4009	400907	3340	1065	0	0
4009	400908	3474	1544	0	0
4009	400909	3812	1223	0	0
4015	401501	1698	589	0	0
4015	401502	2731	465	0	0
4015	401503	3234	581	0	0
4015	401504	3341	483	0	0
4015	401505	3473	115	0	0
4015	401506	3523	192	0	0
4015	401507	4307	798	0	0
4015	401508	4268	836	0	0
4015	401509	4348	836	0	0
4015	401510	4308	870	0	0
4500	450001	1	2209	4608	2279
4500	450002	2846	1878	3007	1911
4500	450003	2261	1847	2498	1859
4500	450004	2878	1750	3011	1782
4500	450005	2669	1654	2878	1685
4500	450006	2536	1525	2830	1557
4500	450007	2262	1397	2593	1412
4500	450008	2814	1237	3010	1269
4500	450009	2160	980	2500	996
4500	450010	1918	918	2252	949
4500	450011	1774	1047	1982	1079
4500	450012	1126	1191	1857	1205
4500	450013	932	1429	1604	1445
4500	450014	1555	1495	1808	1511
4500	450015	1763	1429	1954	1445
4500	450016	1923	1367	2045	1383
4500	450017	2124	1558	2272	1590
4500	450018	1836	1687	2270	1717
4500	450019	929	1848	1908	1861
4500	450020	885	1653	1266	1669
4500	450021	701	1811	1001	1844
4500	450022	507	1749	751	1783
4500	450023	270	1527	523	1543
4500	450024	0	1432	322	1446
4500	450025	313	1126	550	1140
4500	450026	0	1015	242	1028
4500	450027	309	727	516	741
4500	450028	-1	597	241	613
4500	450029	288	485	579	500
4500	450030	543	564	813	597
4500	450031	749	470	974	503
4500	450032	912	598	1154	613
4500	450033	1219	647	1331	661
4500	450034	1260	854	1485	887
4500	450035	880	934	1314	949
4500	450036	1442	759	1619	772
4500	450037	1569	693	1860	709
4500	450038	1732	650	1937	662
4500	450039	1885	565	2276	598
4500	450040	1570	453	1858	468
4500	450041	2226	439	2559	454
4500	450042	2638	534	2863	565
4500	450043	2275	664	2562	678
4500	450044	2497	761	3455	771
4500	450045	653	756	910	792
4500	450046	2797	440	3150	469
4500	450047	3043	601	3134	612
4500	450048	3425	248	3486	260
4500	450049	3263	1079	3627	1108
