22
6000	600001	170	2120	0	0
4501	450104	2813	1866	2978	1898
4501	450103	2846	1738	2978	1770
4501	450102	2638	1642	2848	1672
4501	450101	2233	1834	2463	1845
4500	450001	0	2206	4543	2273
4006	400601	2635	2069	0	0
4006	400602	2527	1978	0	0
4006	400603	2656	1913	0	0
4005	400504	2370	2042	0	0
4004	400403	1666	1490	0	0
4003	400302	1026	2074	0	0
4002	400201	394	1891	0	0
4001	400103	1970	2073	0	0
4001	400102	2080	2072	0	0
4001	400101	2230	2071	0	0
4000	400002	1432	2064	0	0
4000	400004	1173	2111	0	0
4000	400003	780	2064	0	0
4000	400001	255	2140	0	0
4000	400006	558	2061	0	0
4000	400005	316	2140	0	0
