6	3	401201
6	4	401201
5	4	400901
6	4	400901
0	5	400902
0	5	450001
1	5	450001
2	5	450001
3	5	450001
4	5	450001
5	5	450001
6	5	450001
7	5	450001
8	5	450001
9	5	450001
10	5	450001
11	5	450001
12	5	450001
7	4	450002
5	4	450003
6	4	450003
1	3	450000001
2	3	450000001
7	4	450004
6	4	450005
7	4	450005
6	3	450006
6	4	450006
7	3	450006
7	4	450006
5	3	450007
6	3	450007
7	3	450008
5	2	450009
6	2	450009
4	2	450010
5	2	450010
4	2	450011
5	2	450011
2	3	450012
3	3	450012
4	3	450012
2	3	450013
3	3	450013
4	3	450013
4	3	450014
4	3	450015
5	3	450015
5	3	450016
5	4	450017
4	4	450018
5	4	450018
2	4	450019
3	4	450019
4	4	450019
2	4	450020
3	4	450020
1	4	450021
2	4	450021
1	4	450022
0	3	450023
0	4	450023
1	3	450023
1	4	450023
0	3	450024
0	2	450025
1	2	450025
0	2	450026
0	1	450027
1	1	450027
0	1	450028
0	1	450029
1	1	450029
1	1	450030
2	1	450030
1	1	450031
2	1	450031
2	1	450032
3	1	450032
3	1	450033
3	2	450034
2	2	450035
3	2	450035
3	1	450036
3	2	450036
4	1	450036
4	2	450036
4	1	450037
4	1	450038
5	1	450038
4	1	450039
5	1	450039
4	1	450040
5	1	450041
6	1	450041
6	1	450042
7	1	450042
5	1	450043
6	1	450043
6	1	450044
6	2	450044
7	1	450044
7	2	450044
8	1	450044
8	2	450044
9	1	450044
9	2	450044
1	1	450045
1	2	450045
2	1	450045
2	2	450045
7	1	450046
8	1	450046
7	1	450047
8	1	450047
8	0	450048
9	0	450048
8	2	450049
9	2	450049
8	3	450050
8	3	450051
8	4	450052
9	4	450052
9	4	450053
10	4	450053
8	5	450054
9	5	450054
9	5	450055
10	5	450055
11	4	450056
12	4	450056
11	3	450057
12	3	450057
10	3	450058
11	3	450058
9	3	450059
10	3	450059
10	2	450060
11	2	450060
9	1	450061
9	2	450061
10	1	450061
10	2	450061
9	1	450062
10	1	450062
11	1	450062
10	1	450063
11	1	450063
12	1	450063
7	2	450101
7	3	450101
7	4	450101
7	5	450101
8	2	450101
8	3	450101
8	4	450101
8	5	450101
7	4	450102
6	3	450103
5	2	450104
5	3	450104
5	4	450104
6	2	450104
6	3	450104
6	4	450104
5	2	450105
4	2	450106
4	3	450106
2	2	450107
2	3	450107
0	0	450199
0	1	450199
0	2	450199
0	3	450199
0	4	450199
0	5	450199
0	6	450199
11	0	450199
11	1	450199
11	2	450199
11	3	450199
11	4	450199
11	5	450199
11	6	450199
12	0	450199
12	1	450199
12	2	450199
12	3	450199
12	4	450199
12	5	450199
12	6	450199
4	3	450108
4	3	450109
5	3	450110
4	4	450111
2	4	450112
1	3	450113
1	4	450113
2	1	450114
2	2	450114
3	2	450115
3	2	450116
4	1	450117
0	3	450118
1	1	450119
2	1	450120
1	4	450121
4	0	450122
4	1	450122
4	1	450123
4	1	450124
5	1	450124
5	1	450125
6	1	450125
6	1	450126
7	1	450127
8	1	450128
8	0	450129
8	1	450129
9	0	450131
9	1	450131
9	2	450131
9	3	450131
9	0	450130
9	1	450130
8	3	450132
8	4	450132
10	3	450133
10	4	450133
5	2	450134
2	2	450301
2	3	450301
1	1	450302
1	2	450302
1	3	450302
0	2	450303
0	3	450303
5	2	450304
5	3	450304
8	2	450305
8	3	450305
9	4	450306
10	2	450307
10	3	450307
10	2	450308
10	3	450308
10	1	450309
10	2	450309
0	1	450310
0	2	450310
7	5	401001
3	5	401101
7	4	400801
7	5	400801
4	5	400802
1	4	400201
1	5	400201
2	5	400301
0	5	400008
0	5	400007
0	5	400006
0	5	400005
1	5	400004
1	5	400003
1	5	400002
1	5	400001
5	5	400101
5	5	400102
5	5	400103
4	2	400401
4	3	400401
4	4	400401
6	4	400501
6	5	400501
6	5	400601
6	5	400602
7	4	400603
7	5	400603
6	4	400604
6	3	400605
7	2	400606
6	2	400607
3	4	400608
1	4	400609
2	4	400609
1	3	400610
2	3	400611
1	3	400612
3	1	400613
3	1	400614
3	1	400615
3	0	400616
2	0	400617
3	0	400617
7	1	400618
8	1	400619
8	1	400620
8	1	400621
8	1	400622
8	0	400623
8	0	400624
8	4	400625
8	4	400627
10	5	400628
10	5	400629
11	4	400630
11	5	400630
10	4	400631
11	4	400632
10	4	400633
10	4	400634
10	3	400635
10	2	400636
10	2	400637
10	1	400638
10	2	400638
9	1	400639
3	5	400704
3	5	400703
4	5	400701
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
4	5	400702
