1000	312	11	328	29
1001	341	17	352	29
1040	711	947	716	955
1041	733	946	739	955
1042	752	944	763	956
1043	772	943	789	959
1044	794	941	814	960
1045	817	944	837	959
1046	839	945	863	959
1047	863	945	886	959
1048	893	950	921	960
1220	335	45	373	95
1221	389	45	432	97
1222	443	49	487	93
1223	497	48	542	92
1230	729	83	772	124
1231	785	83	827	124
1232	841	85	884	124
1233	897	87	940	124
1234	953	87	995	124
1235	1009	80	1052	124
1236	1065	89	1106	124
1237	1113	100	1154	124
1238	1161	100	1200	124
1239	1209	104	1235	124
1240	1249	105	1269	124
1241	1287	100	1297	123
1250	17	633	137	665
1251	147	633	267	665
1252	277	633	396	665
1253	406	633	525	665
1254	17	680	129	712
1255	139	680	251	712
1256	261	680	372	712
1257	382	680	493	712
1258	17	727	121	759
1259	131	727	235	759
1260	245	727	348	759
1261	358	727	461	759
1262	17	774	113	806
1263	123	774	219	806
1264	229	774	324	806
1265	334	774	429	806
1266	17	821	105	853
1267	116	821	204	853
1268	214	821	301	853
1269	311	821	398	853
1270	17	868	97	900
1271	107	868	187	900
1272	197	868	276	900
1273	286	868	365	900
1274	17	915	88	947
1275	98	915	169	947
1276	179	915	251	947
1277	261	915	333	947
1278	17	962	80	991
1279	90	962	153	991
1280	163	962	227	991
1281	237	961	301	991
1282	17	1006	65	1030
