2000	56	131	97	178
2001	107	126	147	178
2002	157	123	201	178
2003	211	126	251	178
2004	261	127	302	178
2005	313	127	355	178
2006	365	125	409	178
2007	419	127	461	178
2010	9	128	46	178
2020	8	754	45	804
2021	55	757	96	804
2022	106	760	165	804
2023	175	742	227	804
2024	237	743	291	804
2025	301	735	355	804
2026	365	730	416	804
2027	426	738	464	804
2028	474	741	510	804
2029	520	725	555	804
2030	565	711	599	804
2031	609	719	659	804
2032	669	760	728	804
2040	8	504	45	554
2041	55	506	95	554
2042	105	503	148	554
2043	158	496	213	554
2044	223	499	278	554
2045	288	497	332	554
2046	342	501	383	554
2047	393	497	434	554
2048	444	497	496	554
2049	506	500	552	554
2050	562	496	604	554
2051	614	502	655	554
2052	665	500	699	554
2053	709	497	758	554
2060	8	2404	50	2450
2061	60	2398	115	2450
2062	125	2402	205	2450
2063	215	2401	276	2450
2064	286	2400	345	2450
2065	354	2401	413	2450
2070	55	842	96	884
2071	111	808	156	884
2072	166	827	223	884
2073	233	842	291	884
2074	301	836	362	884
2075	372	831	430	884
2076	440	826	493	884
2080	8	193	52	248
2081	62	195	123	248
2082	133	194	195	248
2083	205	195	246	248
2084	256	195	295	248
2085	305	195	341	248
2086	351	195	390	248
2087	400	195	440	248
2088	450	193	491	248
2089	501	181	543	248
2090	553	175	596	248
2091	606	171	648	248
2092	658	177	700	248
2093	710	186	752	248
2094	762	194	803	248
2095	813	194	853	248
2096	863	195	902	248
2097	912	195	951	248
2098	57	278	93	331
2099	103	278	143	331
2100	153	276	194	331
2101	204	268	242	331
2102	252	264	293	331
2103	303	273	345	331
2104	355	282	393	331
2105	403	282	442	331
2106	452	282	491	331
2107	501	277	539	331
2108	549	270	587	331
2109	597	264	635	331
2110	645	257	681	331
2111	691	252	730	331
2112	740	269	782	331
2113	792	277	833	331
2114	843	277	883	331
2115	893	278	932	331
2120	55	1106	100	1157
2121	110	1095	161	1157
2122	171	1083	216	1157
2123	226	1105	308	1157
2124	318	1104	369	1157
2130	8	1360	60	1416
2131	70	1362	120	1414
2132	130	1348	177	1414
2133	187	1358	239	1414
2134	249	1367	332	1414
2135	342	1359	389	1414
2136	406	1356	459	1414
2140	8	1293	43	1345
2141	53	1285	104	1345
2142	114	1292	164	1345
2143	174	1285	222	1345
2144	232	1294	305	1345
2145	315	1295	375	1345
2150	55	412	96	461
2151	106	421	154	461
2152	164	431	218	461
2153	228	426	281	461
2160	8	1172	55	1205
2161	65	1174	110	1205
2162	120	1172	191	1205
2163	201	1171	293	1205
2164	303	1172	387	1205
2170	55	1474	98	1530
2171	108	1471	149	1530
2172	159	1472	197	1530
2173	207	1467	259	1530
2174	269	1470	315	1530
2175	325	1472	362	1530
2176	372	1478	411	1530
2180	71	1548	128	1585
2181	138	1541	175	1585
2182	185	1537	222	1585
2183	231	1541	281	1585
2184	292	1548	374	1585
2185	384	1548	441	1585
2190	384	1548	441	1585
2191	8	1600	57	1655
2192	67	1603	110	1655
2193	120	1602	159	1655
2194	169	1600	224	1655
2195	234	1602	286	1655
2196	296	1603	336	1655
2197	346	1602	404	1655
1070	422	1501	429	1508
1071	433	1501	442	1508
1072	445	1501	452	1509
1073	455	1501	464	1507
1080	476	1512	483	1522
1081	493	1504	513	1522
1082	523	1500	552	1522
1083	562	1497	593	1522
1084	603	1495	633	1522
2200	8	1697	40	1760
2201	50	1698	92	1760
2202	102	1684	133	1760
2203	143	1679	171	1760
2204	181	1674	210	1760
2205	220	1671	248	1760
2206	258	1681	286	1760
2207	296	1686	324	1760
2210	334	1687	368	1760
2211	378	1683	403	1760
2212	413	1689	449	1760
2213	459	1696	507	1760
2214	517	1706	576	1760
2215	586	1719	645	1760
2216	655	1706	707	1760
2217	717	1693	764	1760
2218	774	1685	819	1760
